"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,NEW,20273,New England Airlines Inc.,06924,D,NEW,New England Airlines Inc.,1,6,10613,1061302,30613,BID,""Block Island, RI"",RI,44,Rhode Island,US,United States,15,15855,1585502,35855,WST,""Westerly, RI"",RI,44,Rhode Island,US,United States,15,0,079,1,2023,2,5,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,NEW,20273,New England Airlines Inc.,06924,D,NEW,New England Airlines Inc.,1,6,10613,1061302,30613,BID,""Block Island, RI"",RI,44,Rhode Island,US,United States,15,15855,1585502,35855,WST,""Westerly, RI"",RI,44,Rhode Island,US,United States,15,0,079,1,2023,2,6,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,NEW,20273,New England Airlines Inc.,06924,D,NEW,New England Airlines Inc.,1,6,10613,1061302,30613,BID,""Block Island, RI"",RI,44,Rhode Island,US,United States,15,15855,1585502,35855,WST,""Westerly, RI"",RI,44,Rhode Island,US,United States,15,1,131,1,2023,3,9,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,NEW,20273,New England Airlines Inc.,06924,D,NEW,New England Airlines Inc.,1,6,15855,1585502,35855,WST,""Westerly, RI"",RI,44,Rhode Island,US,United States,15,10613,1061302,30613,BID,""Block Island, RI"",RI,44,Rhode Island,US,United States,15,0,079,1,2023,1,1,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,0.00,NEW,20273,New England Airlines Inc.,06924,D,NEW,New England Airlines Inc.,1,6,15855,1585502,35855,WST,""Westerly, RI"",RI,44,Rhode Island,US,United States,15,10613,1061302,30613,BID,""Block Island, RI"",RI,44,Rhode Island,US,United States,15,1,131,1,2023,3,9,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,0.00,0.00,DL,19790,Delta Air Lines Inc.,01260,D,DL,Delta Air Lines Inc.,3,3,14908,1490803,32575,SNA,""Santa Ana, CA"",CA,06,California,US,United States,91,12892,1289208,32575,LAX,""Los Angeles, CA"",CA,06,California,US,United States,91,6,622,1,2023,1,3,1,L,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,37.00,0.00,0.00,9K,20253,Cape Air,07021,D,9K,Cape Air,1,6,15024,1502403,34945,STT,""Charlotte Amalie, VI"",VI,78,U.S. Virgin Islands,US,United States,4,15598,1559805,35598,VIJ,""Virgin Gorda, British Virgin Islands"",,,,VG,British Virgin Islands,282,1,125,1,2023,3,7,1,F,IU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.00,0.00,0.00,9K,20253,Cape Air,07021,D,9K,Cape Air,1,6,11879,1187902,31879,GDV,""Glendive, MT"",MT,30,Montana,US,United States,84,14745,1474505,34745,SDY,""Sidney, MT"",MT,30,Montana,US,United States,84,1,125,1,2023,1,1,1,F,DU"
"0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.00,38.00,14.00,YV,20378,Mesa Airlines Inc.,06689,D,YV,Mesa Airlines Inc.,2,2,13502,1350202,33502,MTJ,"Montrose/Delta, CO",CO,08,Colorado,US,United States,82,12012,1201205,32012,GUC,"Gunnison, CO",CO,08,Colorado,US,United States,82,6,673,1,2023,1,1,1,F,DU"
"0.00,1.00,35000.00,155.00,0.00,0.00,0.00,36.00,55.00,18.00,WL,20310,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",06076,D,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1,1,12206,1220605,32206,HRL,"Harlingen/San Benito, TX",TX,48,Texas,US,United States,74,13256,1325603,33256,MFE,"Mission/McAllen/Edinburg, TX",TX,48,Texas,US,United States,74,6,655,1,2023,3,8,1,L,DU"
