Idx,X,Y,x_light,y_light,elevation,azimuth,adc0,adc1,adc2,adc3,adcSum,adc0_percent,adc1_percent,adc2_percent,adc3_percent,min_adc
174,-0.599331,0.50949,0.127619,-0.077892,51.8711,139.632,133.375,174.328,201.953,157.734,667.39,19.985,26.121,30.26,23.634,19.985
175,-0.27032,0.40469,0.0508657,-0.0513721,29.1219,123.742,222.906,245.375,273.375,245.625,987.281,22.578,24.854,27.69,24.879,22.578
176,-0.38708,0.40003,0.0761312,-0.0511354,33.8242,134.057,204.031,236.672,263.141,225.062,928.906,21.965,25.479,28.328,24.229,21.965
177,-0.72067,0.38871,0.152814,-0.0505638,54.9665,151.659,122.766,167.984,185.047,136.672,612.469,20.044,27.427,30.213,22.315,20.044
178,0.45412,0.50432,-0.10147,-0.0771422,42.7381,47.9982,208.719,165.875,198.844,238.375,811.813,25.71,20.433,24.494,29.363,20.433
179,0.24318,0.15438,-0.0515493,-9.89973e-05,16.7409,32.4089,292.297,260.062,263.875,288.594,1104.828,26.456,23.539,23.884,26.121,23.539
180,0.368611,0.15208,-0.0762181,0.000461207,23.5001,22.4199,284.703,240.656,244.438,280.438,1050.235,27.109,22.914,23.275,26.702,22.914
181,-0.40535,0.0333799,0.0770444,0.0255905,23.9991,175.292,245.172,283.031,271.672,230.172,1030.047,23.802,27.477,26.375,22.346,22.346
182,-0.28348,0.0303099,0.051352,0.0251261,16.5646,173.897,267.484,293.188,281.828,251.359,1093.859,24.453,26.803,25.765,22.979,22.979
183,-0.38051,0.51339,0.0776118,-0.0767202,39.7194,126.545,178.922,209.375,243.828,209.0,841.125,21.272,24.892,28.988,24.848,21.272
184,-0.489199,0.50857,0.102637,-0.076631,44.8831,133.888,157.953,195.438,226.562,185.484,765.437,20.636,25.533,29.599,24.232,20.636
185,-0.50064,0.39388,0.101769,-0.0507171,39.5692,141.806,179.391,219.812,243.516,198.344,841.063,21.329,26.135,28.953,23.583,21.329
186,-0.612249,0.39222,0.128556,-0.0512826,46.6445,147.355,152.453,197.453,218.781,168.953,737.64,20.668,26.768,29.66,22.905,20.668
187,0.3434,0.509259,-0.0770698,-0.0766019,37.8954,56.0077,217.719,183.094,217.516,249.797,868.126,25.079,21.091,25.056,28.774,21.091
188,0.22356,0.51751,-0.0508364,-0.0768625,34.3144,66.6361,222.75,198.453,234.625,256.719,912.547,24.41,21.747,25.711,28.132,21.747
189,0.10558,0.52217,-0.0258011,-0.0770694,32.1906,78.5692,222.781,209.266,246.781,257.422,936.25,23.795,22.352,26.358,27.495,22.352
190,-0.0151001,0.52309,-0.000199091,-0.0772472,31.5544,91.6535,218.188,216.328,254.469,252.797,941.782,23.168,22.97,27.02,26.842,22.97
191,-0.13878,0.52304,0.0253689,-0.0771207,32.7612,104.86,208.531,218.062,255.906,241.984,924.483,22.556,23.587,27.681,26.175,22.556
192,-0.259919,0.52019,0.0507517,-0.0770661,35.5569,116.55,195.359,215.656,252.281,227.375,890.671,21.934,24.213,28.325,25.529,21.934
