Idx,X,Y,X_interp,Y_interp,azimuth,elevation,azimuth_interp,elevation_interp,x_light,y_light
365,-0.433013,-0.75,-0.4284,-0.7438,240,60,240.06,59.1318,0.0961685,0.221264
366,0.433013,-0.75,0.4354,-0.7511,300,60,300.1,60.247,-0.101949,0.225429
367,0.87462,5.42322e-17,0,0,3.55271e-15,61,0,0,-0.206755,0.0391951
368,0.43731,0.757443,0.4443,0.7366,60,61,58.9026,59.3415,-0.107419,-0.131738
369,-0.43731,0.757443,-0.4379,0.7313,120,61,120.913,58.4718,0.0950419,-0.127635
370,-0.87462,-7.64617e-08,-0.8593,-0.0003,180,61,180.02,59.2381,0.185661,0.0430544
371,-0.43731,-0.757443,-0.4312,-0.7447,240,61,239.928,59.3761,0.0961538,0.2245
372,0.43731,-0.757443,0.4387,-0.7519,300,61,300.262,60.5195,-0.102816,0.22731
373,0.882948,5.47485e-17,0,0,3.55271e-15,62,0,0,-0.208572,0.0381788
374,0.441474,0.764655,0.4489,0.7444,60,62,58.9085,60.3747,-0.108787,-0.133238
375,-0.441474,0.764655,-0.4364,0.736,120,62,120.665,58.8319,0.0955267,-0.127265
376,-0.882948,-7.71897e-08,-0.8582,-0.0072,180,62,180.481,59.1184,0.186456,0.0437606
377,-0.441474,-0.764655,-0.4291,-0.7453,240,62,240.069,59.3165,0.0968145,0.226422
378,0.441474,-0.764655,0.4365,-0.7644,300,62,299.728,61.6725,-0.104728,0.231496
379,0.891007,5.52482e-17,0,0,3.55271e-15,63,0,0,-0.211095,0.0385506
380,0.445503,0.771634,0.4494,0.7492,60,63,59.043,60.8854,-0.108795,-0.134355
381,-0.445503,0.771634,-0.4352,0.741,120,63,120.426,59.2435,0.0968814,-0.128752
382,-0.891007,-7.78943e-08,-0.8689,0.0037,180,63,179.756,60.332,0.189093,0.0435557
383,-0.445503,-0.771634,-0.4359,-0.7541,240,63,239.97,60.5774,0.0971477,0.229949
384,0.445503,-0.771634,0.4411,-0.7657,300,63,299.945,62.0878,-0.1051,0.233821
385,0.898794,5.57311e-17,0,0,3.55271e-15,64,0,0,-0.215562,0.0380997
386,0.449397,0.778378,0.4599,0.7433,60,64,58.2538,60.9354,-0.110057,-0.134955
387,-0.449397,0.778378,-0.4437,0.735,120,64,121.118,59.1533,0.0964811,-0.128958
388,-0.898794,-7.85751e-08,-0.8597,-0.0132,180,64,180.88,59.2943,0.18732,0.0450007
389,-0.449397,-0.778379,-0.4404,-0.7568,240,64,239.804,61.1176,0.0970461,0.231381
390,0.449397,-0.778378,0.4311,-0.7751,300,64,299.082,62.4887,-0.10574,0.236225
391,0.906308,5.6197e-17,0,0,3.55271e-15,65,0,0,-0.218507,0.0391309
392,0.453154,0.784886,0.448,0.7562,60,65,59.356,61.5152,-0.110707,-0.136389
393,-0.453154,0.784886,-0.4394,0.736,120,65,120.838,59.0021,0.098013,-0.128946
394,-0.906308,-7.92319e-08,-0.8649,-0.0116,180,65,180.768,59.8802,0.188623,0.0461605
395,-0.453154,-0.784886,-0.4206,-0.766,240,65,241.229,60.9123,0.0971384,0.233402
396,0.453154,-0.784886,0.4569,-0.7626,300,65,300.927,62.7475,-0.108384,0.238599
397,0.913545,5.66458e-17,0,0,3.55271e-15,66,0,0,-0.220416,0.0389274
398,0.456773,0.791154,0.4674,0.7388,60,66,57.6806,60.9547,-0.11251,-0.134649
399,-0.456773,0.791154,-0.4458,0.7286,120,66,121.461,58.6675,0.097429,-0.127132
400,-0.913545,-7.98647e-08,-0.8636,-0.0017,180,66,180.113,59.7234,0.188627,0.0452269
401,-0.456773,-0.791154,-0.4404,-0.767,240,66,240.136,62.1832,0.0985926,0.236405
402,0.456773,-0.791154,0.4415,-0.7746,300,66,299.682,63.0734,-0.109379,0.240873
403,0.920505,5.70773e-17,0,0,3.55271e-15,67,0,0,-0.22467,0.0385813
404,0.460252,0.797181,0.4726,0.7485,60,67,57.7318,62.2778,-0.113422,-0.136185
405,-0.460252,0.797181,-0.448,0.7393,120,67,121.215,59.8196,0.0987484,-0.127492
406,-0.920505,-8.04731e-08,-0.8669,-0.0115,180,67,180.76,60.1091,0.188213,0.0475206
407,-0.460252,-0.797181,-0.4471,-0.7721,240,67,239.926,63.1521,0.100854,0.2385
408,0.460252,-0.797181,0.4411,-0.7774,300,67,299.571,63.3577,-0.108555,0.244142
409,0.927184,5.74915e-17,0,0,3.55271e-15,68,0,0,-0.226461,0.0397898
410,0.463592,0.802965,0.4706,0.7507,60,68,57.9172,62.3761,-0.113948,-0.135796
411,-0.463592,0.802965,-0.4427,0.7138,120,68,121.807,57.1334,0.0974903,-0.126138
412,-0.927184,-8.1057e-08,-0.8611,-0.0287,180,68,181.909,59.4942,0.185921,0.0494065
413,-0.463592,-0.802965,-0.4089,-0.7865,240,68,242.53,62.4296,0.097895,0.240875
414,0.463592,-0.802965,0.4522,-0.7781,300,68,300.163,64.1525,-0.109413,0.247114
415,0.93358,5.78881e-17,0,0,3.55271e-15,69,0,0,-0.229308,0.0416185
416,0.46679,0.808504,0.4686,0.753,60,69,58.1056,62.4865,-0.115901,-0.135489
417,-0.46679,0.808504,-0.4412,0.7194,120,69,121.52,57.556,0.0980864,-0.125263
418,-0.93358,-8.16162e-08,-0.8537,-0.031,180,69,182.08,58.6784,0.183862,0.0489979
419,-0.46679,-0.808504,-0.4341,-0.7757,240,69,240.768,62.7361,0.0986942,0.242549
420,0.46679,-0.808504,0.4464,-0.783,300,69,299.688,64.331,-0.111073,0.249159
