id,X,Y,x_light,y_light,Extrapolated
205,0.75673,0.36956,-0.1792,-0.0512,False
206,0.67161,0.37262,-0.1536,-0.0512,False
207,0.57566,0.38125,-0.128,-0.0512,False
208,0.46805,0.38966,-0.1024,-0.0512,False
209,0.35225,0.39785,-0.0768,-0.0512,False
210,0.23084,0.40472,-0.0512,-0.0512,False
211,0.10723,0.41015,-0.0256,-0.0512,False
212,-0.01748,0.41101,0.0,-0.0512,False
213,-0.1445,0.40873,0.0256,-0.0512,False
214,-0.27191,0.4039,0.0512,-0.0512,False
215,-0.39001,0.40011,0.0768,-0.0512,False
216,-0.50321,0.3955,0.1024,-0.0512,False
217,-0.61007,0.39174,0.128,-0.0512,False
218,-0.72313,0.39128,0.1536,-0.0512,False
219,-0.8077532275349661,0.38309452144355943,0.1792,-0.0512,True
220,-0.8813014419514987,0.37369710414557705,0.2048,-0.0512,True
221,0.8155100918332375,0.455159643222306,-0.2048,-0.0768,True
222,0.74264,0.48205,-0.1792,-0.0768,False
223,0.65611,0.48329,-0.1536,-0.0768,False
224,0.55912,0.49452,-0.128,-0.0768,False
225,0.45783,0.50271,-0.1024,-0.0768,False
226,0.34214,0.51019,-0.0768,-0.0768,False
227,0.22523,0.51703,-0.0512,-0.0768,False
228,0.1048,0.52099,-0.0256,-0.0768,False
229,-0.01602,0.52135,0.0,-0.0768,False
230,-0.13987,0.52171,0.0256,-0.0768,False
231,-0.26199,0.51891,0.0512,-0.0768,False
232,-0.37691,0.51382,0.0768,-0.0768,False
233,-0.48813,0.50933,0.1024,-0.0768,False
234,-0.60075,0.50589,0.128,-0.0768,False
235,-0.7046606540679932,0.5010719299316406,0.1536,-0.0768,True
236,-0.7942943057037953,0.48977229825237156,0.1792,-0.0768,True
237,-0.8779608024062255,0.482748383104695,0.2048,-0.0768,True
238,0.7904327855485417,0.5496680750028459,-0.2048,-0.1024,True
239,0.7211739458875172,0.5688356464102073,-0.1792,-0.1024,True
240,0.6389172236422563,0.5900895801412286,-0.1536,-0.1024,True
241,0.54355,0.60433,-0.128,-0.1024,False
242,0.44158,0.61441,-0.1024,-0.1024,False
243,0.32725,0.6218,-0.0768,-0.1024,False
244,0.21293,0.62857,-0.0512,-0.1024,False
245,0.10042,0.6331,-0.0256,-0.1024,False
246,-0.01727,0.63692,0.0,-0.1024,False
247,-0.1364,0.63411,0.0256,-0.1024,False
248,-0.25118,0.63398,0.0512,-0.1024,False
249,-0.36551,0.62726,0.0768,-0.1024,False
250,-0.47735,0.62631,0.1024,-0.1024,False
251,-0.58453369140625,0.61737060546875,0.128,-0.1024,True
252,-0.6820616109584412,0.6050827485434603,0.1536,-0.1024,True
253,-0.7683531584940844,0.5876691106962599,0.1792,-0.1024,True
254,-0.8478482892112349,0.5708418008492819,0.2048,-0.1024,True
255,0.7576519233003085,0.6307670420478533,-0.2048,-0.128,True
256,0.6955911756220122,0.6612222027617823,-0.1792,-0.128,True
257,0.6172349902690165,0.6876340153975156,-0.1536,-0.128,True
258,0.5278466201162372,0.7050402881026708,-0.128,-0.128,True
259,0.42346,0.73052,-0.1024,-0.128,False
260,0.31606,0.7328,-0.0768,-0.128,False
261,0.20459,0.73987,-0.0512,-0.128,False
262,0.09563,0.74251,-0.0256,-0.128,False
263,-0.01626,0.74584,0.0,-0.128,False
264,-0.13146,0.74694,0.0256,-0.128,False
265,-0.24347,0.74538,0.0512,-0.128,False
266,-0.3533,0.74548,0.0768,-0.128,False
267,-0.4629677787831277,0.7303738030178546,0.1024,-0.128,True
268,-0.5630854295102049,0.718842542558949,0.128,-0.128,True
269,-0.6559063484262007,0.7017146507606562,0.1536,-0.128,True
270,-0.7418212890625,0.6848907470703125,0.1792,-0.128,True
271,-0.8137054443359375,0.6609992980957031,0.2048,-0.128,True
272,0.7276450973513742,0.7082415480345676,-0.2048,-0.1536,True
273,0.6676697667060915,0.7424968495066344,-0.1792,-0.1536,True
274,0.595317365383721,0.771266232933609,-0.1536,-0.1536,True
275,0.5051139578032914,0.8073800611859181,-0.128,-0.1536,True
276,0.4051673928636308,0.8222597102098683,-0.1024,-0.1536,True
277,0.30044765601376494,0.8371088541122829,-0.0768,-0.1536,True
278,0.19557860164995503,0.8388747220932762,-0.0512,-0.1536,True
279,0.08641528197222018,0.8396526490750305,-0.0256,-0.1536,True
280,-0.01934474770414407,0.8211489668487395,0.0,-0.1536,True
281,-0.1263881600032962,0.8481324492938189,0.0256,-0.1536,True
282,-0.2324749856085882,0.855677307061655,0.0512,-0.1536,True
283,-0.3410016639496161,0.8398798808858521,0.0768,-0.1536,True
284,-0.4457172547226868,0.8390724423381766,0.1024,-0.1536,True
285,-0.5438433218433423,0.8185818073998467,0.128,-0.1536,True
286,-0.6264233434820095,0.7965665393960465,0.1536,-0.1536,True
287,-0.7044475357306372,0.765755917009963,0.1792,-0.1536,True
288,-0.7787468159521528,0.744001464093285,0.2048,-0.1536,True
